entry_word,synonyms
befasuar,"(i, e) shih habitur Qe pë GARA"
befasues,shih habitshëm (1): '
beftë,"(i, e) shih befasishëm 6 sd"
begat,shih pasuroj: j-bëgatem shik Bikuohev
begatë,"i,e) shih bëgatsheti GJ Sh pjellor,"
"mbarësi,",firëqeniës Shih' pasuri:
IA,begatoj shik pasuroj: begatohëm: shih në
"bathore,",shih badër e E ' H UA
pasurohëm,''
Shih,pasur GQ
shumtë,"(i), bollshëm (i), buhishëm (i): Shih"
"pjellor,",prodhimtar: shih: pasur ) VES
Përspjet,s7 E Fran E
"Jepen,",bis epis Ki dë ët gë së
behar,0
behar,bis shih pranverë: shih verë: shih
dashur,"(1), i"
behiare,shih ëtëza
beharna,shih ërëza
beharoj,bis shih veroj
beharor,bis shih veror
bejk,bejkush
bejkë,bëlicë
bejkush,shik bejk
bejleg,shih dyluftime shih flokë -
bejtar,bejtexhi
bëjtë,shih vjershëtim
bejtexhi,shih bëjtar
bekçi,"pendar, vreshtar, roje qershi (fushe), 1"
"pojak,","kanogjar, gjobar, vjet E,"
bekim,"uratë, vjet uratim: shih mbarësi"
bekoj,"uratoj, jap bekimin (uratën), DIS uroji"
bis,Shih lavdëroj
bekuar,"(i, 6) uruar: da uratur Q shih begaishëm"
(0:,shthimbarë (1): shik shkretë Q
bekuar,(e) euf Shih L( sëmundje)
"bel,","mes, ndërmjet, krahin përmjet"
"bel,",vangë (krahin )
bela,"shih hall, shqetësim: kokëçarje, xarixë,"
"telash,","bis bezdi, zavall, kusur, havale,"
kërcu,"përmbi shkarpa, krahin ene"
krahin,shih këmishë:
belaçor,shih belamadh
belamadh,"belaçor, belaqar vë,"
belaqar,shih belamadh
belas,"për beli, për mesi, rrokas"
belaxhi,shih beltar: br
belbshik,belbër
belbacak,"belbër G), bjbët 1 GJ, belbacuk,"
"Peoa,","Delbaq, belbaraq, SABA, 'gojac,"
"gojëzënë,","zjuhëmbajtur, gjuhëzënë E"
belbacuk,shih belbacak n n erës
belban,shih belbacak
belbaq,shih belbacak '
belbaraq,shih bëlbacak
belbenr,shih belbëzoj
belbër,"(i, e) shih belbacak"
belbër,belb SE
belbëroj,shih belbëzoj
belbët,"(i, e) shih belbacak"
murmuri,tje S hi
bëriha,bis shih kushtrim
bërk,shih urë:
beronjë:,ishi shtërpë  N
"Se,","berrejshëm shpërbemë (1), Shpërbetam"
besatar,vjeti shih alcal: Shihe besimtar shih
belbëzoj,"belbem, belbëroj, flas: belb, (më) mbahet"
"goja,",bërbëlis: shih murmuris: shih Nlomotisë
belbicë,shik belushkë  0 i gi
bele,belgjian
belgjian,shih belg st
belhollë,"meshollë, mesunazë, Bëllnazë:"
"belkëputur,","meskëputur, meslakore,"
"mespërdredhur,","poet mospuftëkë, figi"
"ngjalë,",krahin mesngjalë së
beli,shih haptas 5
belicë,shih bejkë: shih kokërrbardhë
belik,"vjet shih shtetëror, paZot, pa pronar '"
belkëputur,"shih belhollë, meshollë"
belshakshik,beltar 5: Ak Pë
beltar,"belaxhi, belshak"
belunazë,"shih belhollë, meshollë'"
belushkë,"troftë, belbicë -:  pi -s"
"bend,",shih pellg Kat
"bend,","shih shpoti, thumb: shih gjepur:"
beqar,pafejuar GJI pamartuar E Shi pazënë Pd
bëqari,bëqarllëk:
beqarllëk,shih: begatë
ber,shih hark: shih shigjetë: shih shigjetull
berbecul,bis shih varfër Q shih leckamarë
berber,"floktar, TS: i 6,"
bereqetshëmi,(i) bis shih begatshëm 6): sshih
dobishëm,D-
berëz,shihhark: shih shi gjetë shih shi gjetul
Shik,bishtatundës-
beribat,vjet shik shkatërruar r0: Gsh fëlliqur
(Diishih,pavlefshëm TODJT
'besnik:,St PE P J OR
besatim:,vjet shih2 Zotim
shtet, J besatohem vjet shih Eblolorii
bëlbëzim,"mbajtje goje, bërë shik p"
besë,"premtim, fjalë: vjet: ndore: shi LN"
Shih,fe: shih: besnikëri : ka dh
bësëkëq,shih pabësë (1):
besëkotë,shih bësëtytë
besëkotësi,shih besëtytni
besëlidhës,shih aleat
besëlidhje,"shih aleancë, besë"
besëpakë,shik pasigurt GJ
besëplotë,shih besimplotë
besëprerë,shih pabesë (i):
besëprerje,shih pabesi 0 qi
besëqen,shik pabesë (i)
besës,"(i, e) shih besnik"
besëshkalë,shih pabesë (1)
besëtar,"vjet shih besnik, shiht besimtar"
besëtytë,besëkotë
besëtytni,"Besëkotësi, paragjykim, shofti,"
besëthyer,shih pabesë 6):
besëthyes,shih pabesë 1
besim,"bindje, siguri, kiedi, kredo: shih fes shih"
bësimitar,"fetar, besnik, vjet besattii besëtar"
besnik,"besës (i), burrë, besuar G), njeri i"
"besueshëm,","shtyllak (fig Jy vjet besatar,"
bësëtar:,shih ndershëm 6) shih përpiktë (1):
shih,besimtar
besnikëri,besë: shih: ndershmëri: shih përpikëri
besoj,"zë besë, kam besim, shpresoj, kam"
shpresë:,"hamendësoj, bis (ma) merr (ha)"
mendja:,"shih tregoj: kuptoj, pandëh,"
mendoj:,shih jap: Shik dij besohet
"mendohet,","hahet, thuhet, ka të ngjarë, ka"
besuar,"(i, e) shih besnik: shih dërguar d"
besueshëm,(i) shih besnik I
beshamel,shik salcë:'
bështe,"krahin shih gjepuët shih gënjeshtër,"
beshtemadh,krahin shih gënjeshtar
peshtë,krahin shih kuskutë 4
betejë,"shih luftim, luftës SHI përplasje"
beter,bis shih shëmtuar GQ): shih neveritshëni
"(1),",shih këq (1): shih tepër: shih keq:
"betimbe,","përbetim, përgjërim i"
betoj,"V në be, përbeji betohem pëj (që"
jap,"fjalën, 'përbej, përbekem, përbotohem, 1"
"përgjëroj,",përgjërohëm: vjet frati benë
betonarmë,shih hëkurbetoni' 5 st i N
betontë,"(i, ë) betoni, prej: besh: H 4 Ba"
papajtueshëm,(1)
ri,l) bezdi bis shih bela: shih mërzi:
ha,"kokërdhokun e syrit, (1) çaj kokën (vulg"
"bythën,","trapin, veshët), (i) stërqitem, Q qepem,"
(i),"rëndem, (1) rëndohem, (1) ngatërrohemi"
nëpër,"këmbë, (i) bie në qafë, (i) bëheni rroc he"
"(ferrë,","rriqër, morr rr,plesht, barrë, bis: havale):"
(i),"beditëm, (e) ha (dikë) me: Dezdisem Dis:"
shih,"mërzitem, shqetësohem i"
bezdisje,bis shih shqëtësim at dk
bezdisshëm,"(i) bis bezdisur: (1), mërzitshëm"
"(i),","shqetësues, ngjitur (i), stërqitur (0, FE ig"
"'këpushë,","mizë kali, rriqër, ferrë, morr,"
"plësht,","krahin cimbur, shih rrodhe :"
bezdisur,"(i, e) bis shih bezdisshëm O"
bezgë,shih sfakë E atë
bëj,"përgatis, paris, gatuaj, formoj, përfie toj,"
"prodhoj,","ngre, ndërtoj, punoj, krahin"
trajtoj:,"krijoj, hartoj, përpiloj, shkruaj: thur:"
kompozoj:,"mbush, kam: Kryej, përmbush,"
"realizoj,","organizoj,- zhvilloj, mbaj,"
"ndërmarr,","vijoj, vazhdoj, shtjelloj, bës ha:"
"thur,","kurdis, vës shih fëlliq, lëviz, shkoj,"
"-shtyhem,","zhvendosem: shkaktoj, ' ngjalli"
transformoj:,"pjell, lind, nxjerr (në dritë),"
"heq,","tërhëq (një vijë): Nxjert, lëshoj,"
jashtëqis:,"gjej, siguroj, fitojj them,"
"shprehem,","gjegjemi, përgjigjemi paraqis:"
"paraqes,","parashtroj, dërgoj, drejtoj: shih"
ndaj,shih shpik shih qep: shih zë: shik
"përshkoj,","shih kaloj: lidh, vendos: sillem, e"
veproj:,"v II vlën, Kushton: shih lëjohët: V"
AMI,shih jam: shih përshtatet: shih: mbaj I
(moshën):,vi Na shih piqëm:' shih kj
zhvillohem:,"v ZI përgatitet, përfundori,"
"ryhet,","mbaron: formohet: krijohet, sajohet,"
"gjendet,","përftohet, ndodh,:hgjan, ngjet"
"caktohem,","emërohem: afrohem, Shoqërolëm 6"
shih,fëlliqem: shik: shtirërht shih sipër V
HI,"shih mbushet: shih shfaqet, lë Z"
mej,zhvendosemi nesh përdhe shih
bëltajë,bëltacë
bëltuc,shih zbus
bëmë,shih trimëri E
bërbëlis,shih belbëzoj: shih n MUfMUriS:
bërbëlitje,"Shik belbëzim: shih mMurënuritje, '"
bërbjek,krahët shih kalama DE
bërcan,shih ulli
bërçuk,"shih shisërishte, e koçan: shihe shkur"
bërdalec,krahin shik: sifiliz
bërdilë,"tefe, bis fulqi"
bërdokull,krahin shih xhungë: shik mjel 5
Shih,gjepur '
bërdungull,krahin shik xhungë Bi e
bërdhac,shih morr
bërë,"Gi e) kryer D bërfunduar ),"
përmbushur',"(1), arritur Gi), mbaruar (i),"
realizuar,(i): pjekur (1) arritë e gatitur 1)
përgatitur,"(1), gatshëm DJ"
bërë,"(të) shih bërje, - U"
bërës,shih krijues: shih autor
bërje,"kryerje, bërë (të), përfundim, arrij"
"përmbushje,",rëalizim:: ax 50 SEE
bërlut,shih copëtoj: shih shkatërroj: aa
bërlutë,"shih byk: shih fundërri: : e së,"
bërlyket,shih zhgëfryhet:
bërllok,shih byk Shih: fundërri keq shih
fëlliqur,(1)
bërnjak:,"shih pirës ( kec, 6 qengj gj) ndë"
bërsi,"bërthokël: KORN, krahin çpatështinë"
cipura:,ter
bërsij,shih: copëtoj th ket tarlës PEJ
bërshen,"enjë, tis, urenjë 4 ac ent"
"bërtasithërras,","gërthas, këlthias, Klith, biskasi"
"sokëllij,","sokëllas, çirrëm, ngjirëm, klith,"
"fërvallëm,","shkumëzoj, keg vërras: bisbëj"
"kiametin,","vë Kujën, fig keq pëllas, hingëllij:"
krahin,"vikasi shih qortoj, shih lëri V PH"
karkat:,v II shih pingëron:: 8
bërtitje,SH britmë: tëtë ulërishë: shih
Qortim,: E U 2
përtitur,(e) shik: britmës:: ej
bërthamë,"bërthokël, kokël, bisie gur E krahin:"
"guaskë,",shih farë: shih thelb: :
rojnë,Pr n
pi,E Hë i
përthamor,"ime: Dërthajnë, bërthokëlors shih"
atomik,va të çki ët dehet ah
bërthanëz,thanukël de Kë së rin
bërthokël,shi bërthamës : qepë deti krahin
bëshnjakem,krahinshih: dobësohem
bështajë,shih dushkajë: 2 si 2
bëtajë,krahin: 'shih tmerr: shih zhurmë: shih
bibanishih,gjel detis pk
bibizane,glyrë( ërdhin: pi 2
bieulë,shih cyle: :
biçikletar,vjet shih e
"ble,","rrëzohem, hidhem, lëshohen, 'plandose I"
ND,1
bërthokëlor,shih bërthamor (frut
bërxollë,shih kotëletë
bërxhik,"çepirok, furmaçe, sfurqi a"
bërxhyke,shih hallkë 2 ki E UL
bërzanë,krahin: shih porsambarsur (e
bërrakë,"shih pellg: shih moçalishte, shih"
bërrakore,shik moçalishte
bërrore,krahin shih sariar
bërruc,shih gunë
bërryl,shih dredhë: shih dehur Oys shih trashë E
bërrylak,shih dredhë 1
bërrylas,shih anash
bërrylmbështetëse,shih mbështetëse:
bëshëm,"(i) mbushur (1), kolimë Q të gruas"
"vajzë),","plotë: (1), shëndoshë (i), majmë -(1),"
-majmok,"(bagëti, njeri), rrumbullak,"
"-rrunëzak,","dërdëng, trondokopr bis: bakull:"
shih,kokërrmadh: S pjellor: sshih
-zhvilluar,"G), trupmadh :"
epilepsi,T UR
bëtikë,krahin: shih shakulli da
bëz,"stom, rrënoks shik dunë: shih plis (dhen) -"
bëzaj,shih trëgoj: them: shih thërras s
bëzhdilë,sh shih plehra: bari i keq
biberon,shih: kapëzis
bibë,"ZOG (pate, rosë: pra deri) ri rikës shih pulë"
"-deti,",KJIg: Keq trashë (e): budallaqe: : E
pibël,shih ungjill: :
bibish,shih bëri mt
bibliografi,tregues ( brdshj: i s
bic,krahin shih derrkuc: qën (1 zi) së
bice,shih gropëz: shih Dë qoshe SH ih shteg
"bridullë,","sojak, vjet: Pet va"
shih,maskara
"-Përplasem,'","përmbysëm,  sgrëmisemi"
"shtrihem,","uleni: Fig Z0es: vilëmi (nga,"
"përgjegjësia),","vritem, keq rrokullisemi, bis"
Prapohëm:,"v: II pik, piket, dikon, rtrjedh,"
"kullon,","derdhet, amton, qëmton: zbret,"
"varet,","dorëzohem, bis buj, qëndroj: ulet,"
(lumi),"v HI dobësohet, zbutet, tulatet,"
"shtrohet,","fashitet, qetësohet, shuhet, vjetet,"
"mehët,","mbaron, pushon: keqësohet:"
shfuqizohet:,"ndodh, qëllon, rastis, vjen: byj,"
"futem,","vihem: ndesh, gjej (befas): shih"
Përshkoj:,"Shpërngulem: shih turrem: godas,"
"godis,","rrah, qëlloj, Çuk' drëjtohet, përplaset:"
"fryj,","luaj (me një vegël muzikore), fig bis"
"qortoj,","kritikoj: ndodhet, gjendet: Shtrihet,"
"përhapet,","zë, Jidhem, merrëm vesh: bis jam"
fis,"(i afërt): bis jap' (një fshesë, furçë): shih"
"jepem,","tërhiqem: fig lodhem, këputem, bis"
"faroj,","(1) përvishem, (1) futem, (1) hyj: (më)"
"nxë,","(më) bën: pëlqen, përputhet, përkon,"
përshtatet:,"bis kushton: (më) kap, (më) zë,"
(më),"ngjitet (një sëmundje): (më) takon,"
(më),"përket: them, flas: lëshon, vjen, ka"
(erë):,"v HI godet, zë, rreh, shajton,"
shkarkon:,"v 211 sheh: v I futet, thellohët:"
"bie,","sjell, çoj: nxjer, paraqis, shkaktoj"
pifë,shih pazi
bifkë,"shik bimëz, bisk, pipth: shih tëstari"
bigaçe,"shih bigë: shih' Furkaçe, furkë,"
"kalavesh,",mbështetëse
bigë,"furkë, mbështetësë: shih bigaçe, bigël,"
"binoshe,","binjore, krahin mashë, mashbigë,"
"bigël,",tufë: shkëmb (me majë): vinç Qe 9
krahë):,"shih furkë, shih drejt, Pipëzi"
bigël,shih bigë
bigëzoj,"bigoj, çatllo shkalloj"
bigoj,shih bigëzoj:
bigoni,vjet shih shpifje pa e Pit
bigorr,shih çmërs: fig shih fundërrinë
bijë,"vajzë, çupë, çikë, gocë, krahiitt voce, keqe"
bijësi,"birëri, prejardhje ' korin ni arë"
bijoj,poet shih lind e at
bijor,"bimor vë bi, JA"
bikarbonat,sodë uk):
bikër,shih fulterëz '
bilan,"krahin, shih rip (kali shih gjerë,"
bilanc,përfundim: ërmbledhj 6: as
bilashnjok,shih bisks lastar:  ce P asqyrë
"ëlohet,","mpaket, pakësohet: dehet"
bindës,shih om E
bindje,"dëgjesë, dëgjim, moskundëlshtirtë"
bindshëm,(1) shih bindar
habitshëm,(i):
bindur,"(i,e)"
bibibil,zogël
bilbil,shih reze (dritareje) e pse fi
bilbilush,shih bile (rië gjuhën e fëmijëve
bile,bis madje '
bilë,"bilbilush, zile, bis: zikë: NE"
biletë,shih kartëmonedhë: tezë qi provimi D
bilë,shih zar
'bilike,shih ibrik
bilonjë,"shih bisk, lastar: fig shih h biskonjë"
bilur,bis: shih porcelan: shih akulli:
bilurtë,"(i, ) bis: porcelani: bardhë G"
bimë,"fig bis shih pjellë, shih Pasarhës"
bimël,shih bëzhdilë 4
bimëmbathës,shihmbathës: si të vër
bimësi,"gjelbërim, blerim, bis: jeshilëk"
bimëtore,herbarium:
bimëz,"bifkë, mugull, shih bisk, lastar i"
bimor,vegjëtal D AA
bimsë,shih bodrum :
bina,bis shih ndërtesë: shih i themel tf keq
"trupmadh,",bis shih: S E
binadalë,bis shihrrënjëdalë
binamadh,bis shih trupmadh '-
binarshih,"tra: shihsi shinë, Fi ig: shi PR vijë"
(hekurudhore),-
"bind,","Siguroj, mbush Dë Nël Ri tYS: 'figi"
"përpunoj,","bis kandis: bindem, më mbushet"
mendja,"(top: QYP), tysem, sigurohemi, bisi"
kandisem:,"dëgjoj, mi gatitu, marr vesh"
"(drejtqëndrim),","rri nuse: (sas, qiri në këmbë),"
"shtrohëm,","(1) vë veshin (mendjeri), I"
"nënshtrohem,","gjegj, gjegjem i"
shih,"habitem, shih mahnitëm"
bindërme,hulli vijës zdrkth së bole shik i Në
"nënshtrim,",gjegje: shihz zë: 4 Shik besim: shik
"pikëpamje,",mendim: '
bindur,"(i, e): Shih: agë) E K Në"
dëgjueshëm,"(i), gjegjshëm d, mbledhur 6), Në"
mbarë,ktë këshillëmbarë: 0 dëgjuar Qi E
"(1),","fjalëpakë, paqësor, nënshtruar (1), pa zë,"
"kokulët,","kokulur, fig qengj, manar, pulë"
binish,vjet xhybe (e: gjerë): pallë (e gjerë)
binokël,shih dylbi
binom,dygjymtyrtësh
binoshe,shih bigë pë
binjak,"dyshe: shih ngjashëm 0: giftar, dyja"
binjore,shih bigë
biograf,jetëshkrues
biografi,jetëshkrim: eutriculuni vitae
biografik,jetëshkrimor
bir,"djalë, Çun, bis: birçe, krahin voc, VO,"
bira-bira,shih vrima- vrima
biraç,shih kamare FE P
biraçok,"shih vrimëz, vrimë (e vogël:"
biralec,shih kulaç
biralie,shik qepshe (me vrima):
biramel,krahin shih kureshtar sa ka E
birbo,eg pa shtëpi  pa katandi: shih shthurut G:
birçe,"bis shih bir, keq birko, birii botës, e"
birë,shih vrimë
birëri,shih bijësi Në
birëse,"çekan, daltë (për vrima)"
birësuar,"(i) qasur' 6) (bis), bir çaj 1) për rn)"
birëveshë,shih BORSHTEA:
birim,shih shpim  00 NS
birinxhi,vjet shih shkëlqyeshëm ët
birko,keg shih birçe E më
biroçe,shih karrocë
Vs,Fas
biroj,shih shpoj: fig shih prish shkatërroj
birohet,shih shpohet së i
birucë,shih qëli të
birues,shih kandërr: kë shih Vkureshtar
birrari,shih: pijetore
birrem,shih bjeir
mistrec,ri
bisedar,shih kugëiëkë - së
bisedë," bisëdim,: bashkëbisedim I"
"bashkëbisedë,","kërrititin: kuvend: kuvendim,"
"muhabet,","fjalë, ligjërim, ligjëratë,"
bisedim,shih bisedë I
"kumtoj,","bëj llafe (muhabet),: bis:"
"ligjërohem,,","llafos, llafosem: shih: shqyrtoj"
biseduës,"bashkëbisedues, bashkëfolës"
bisk,"filiz, ngallë, degëz, rejë, rremb, salla, 5"
bishtagjel,krahin shih zambak Peti
bisbiq,"shih kulaç, soja shkurtër' në: shih p te,"
"bishtak,",shih qepshe: Fundi: 1 dorakut që të Në
"Smag,","smat, qeporë, rrembth, bifkë:"
"bilashnjok,","gem, bitonjë, bitme, biskonjë,"
Në,"bilonjë, fillak, mënjollë, lastar, llaskonjë,"
"mitë,","noshtër, vllastar, njomëz, pinok,"
"pinjoll,","pip, shpatull, trikë, triskull: fiskajës"
"çicërr,","grep, kopil, thupër, kalem, korthitë,"
"nënsqetull,","bythanë, krahin çem, curril:"
"çatall,","gërshet: shih kollë 5 0, E hajthëmi di"
shih,pareshtur
biskar,shih astrit
biskar,shih hollë (1): shih hajthëm Gr
biskon,"ngallon, shih mbin: :"
biskonjë,shih bisk: ig: shih gabu shi
hollë,(1)
biskotë,"gurabije, kullarë, karkanaqe: pjekur"
(1),"t qeramikë, porcelan) Aj"
"bistër,",shih gjilpërëz  La e
"bistër,",Shih akull: shih thartë: 0 ) (shumë):
"gjuhustër,",vjet hazërxhevap: shih shkathët E 0)
bistërok,"shih i thartë Shumë) ter SI,"
bisturi,nështer E pt
bishar,shih egër (1)
bishë,"kafshë, shtazë, vjet zalli shih"
egërsirë:,bis shihujky shih mMIZOT vë
bishor,shih shtazor: shtazarakai 5:
bisht,"fre (fruta): shtjekë: (syri Je, shih shtojcës"
Shih,kep: shih fund: shik ngatërresë: shih
trillim:,shih fundërrinë: shik kokë ( bagëri):
shih,"pëllëmbë: mish ( bishtit), Kërbythjes 1"
bishtafurkë,shih nuselalë
bishtagan,shih pilivesë:
bishtagyp,vjet shih Pponë veres pag
parmendës,Ja But
bishtak,shih bishtgjatëjn më bisht ( grë )
bishtakuq,shih palëllxhanës pë
bishtalec,shih gërshet: :
JA,1 bishtalug krahin: shih mëëligë kaçak 8 pë
bisedoj,"kuvend, kuvendoj, bashkëbisedoj n i"
"ligjëroj,,","fjalohem, fjalosem, fjalos,-flas,"
bishtanjak,shih bishtgjatë atë: '
bishtar,shih bishtuke
Shih,xhezvë: : e
bishtarake,shih xhezve Ni
bishtas,shih galiç: shili rrëshqanë
bishtatundës,"bishtagjatë, bishtlëkundës,"
"bukurosh,","delmëre, bërëz, tundubishtje, 208 I bishtuk kandil, bishtar, bishtor çirake gaznik"
bishtcakëre,shih bishtpërpjetë
bishteub,shih bishtcung
bishteubël,shih bishtcung '
bishteung,"bishteub, bishtcubël, bishtprerë,"
"cub,","cubak, cuban, cubel, dungë, krakin"
bishtçatall,shih bishteërshërë
bishtdredhur,shik përdalë (e)
bishtdurd,krahin shih bishteung
bishtdhelpër,pun BAC
bishte,shih nënbishtë:
bishtezë,shih nënbishte:
bishtërr,shih fulterëz - 3
bishtës,shih bishtgjatë (ratë
bishtëz,shih dorak
bishtfulterë:,shih fulterëz
bishtfurkabukur,shih nuselalë
bishtgërshërë,bishtçatall
bishtgjatë,euf shih dhelpër: shih laraskë shih
bishtatundës:,shih trishtil BJ
bishtejatë,"mb bishtak: bishtanjak, bishtës,"
"bishtje,","bishtor, bishtuk tn"
bishtje,"shik bishtgjatë: qetë E,"
bishtkëputur,"shih qyqar, shkretë G) panjeri 0"
bishtlagur,bis shih turpëruar (i)
bishtlëkundës,shih bishtatundës:
bishtlëshuar,bis keq shih përdalë (e)':
bishtlëvizur,bis këg-shih pendë
bishtlopatë,shih fulterëz  -
bishtluajtur,bis Kegis shih përdalë
bishtrni,bar gjaku
bishtni,shih dredhi
bishtnim,shih dredhi Pro
bishtnoj,shih përvidhei: shih edo teqe
bishtnues,shih dredhuës N Ej
bishtok,"shih qepshe, shih bisht fr mish sh"
bishtok,mb shih bishtshkurtër '
bishtor,shik bishtuk:
bishtor,shih bishtgj: atë::
bishtore,"shih: gjepsheti shik xhezve, shih"
bishtarak:,shih nënbishte: : Shë
bishtos,"rrëbisht, përvjel (dhëntë) i"
bishtpenë,bishtagyp ss
Dbishtpërdredhur,Fig: keq: shih përdalë 8):
bishtpërpjetë,bishtcakërr 'Jig: gi Shih
bishtuk,shih bishtgjatë e
bishturina,sh bis shik fandërrina
bitevi,bis shih krejt: shih plotë (1)-
bitum,"shih serë, zifë, shih asfalt E"
bizgosem,shih (më) heq ( Qarko)
bizgosur,figshih rënë: (1)
bjerr,shik humbi: pi humb: shik
bjerrafat,shih fatkëq--
bjezgë,shih ashkël
"blanë,",shih PAS Shihe njollë
"blanë,",shihiutrër: tp
blanjë,shih: copë:
blasfemi,shih: 'sharje 8
blatë,vjet shih: meshë Shih vulë:
bishtprerë,shih bishtcung 0
bishtshkurtër,bishtok
krahin,"gaz, gacë"
bitërr,"harrë, harrje, harrur (e), rrllishtë,"
"rrallesë,","tëharrje, përanditje na"
bitis,bis shih mbaroj: shth shkatërroj: bitiset
bis,shih: mbaronjshih Shkatërrohet H Th
bitisur,"(i, ) shih mbaruar (i)  : Ph es"
bitme,"shih bisk, lastar E sis TT 5 ta R"
biule,shih pipëz hh
bixhas,S hih petashe pas E e
bixhë,shih pëtë ' kënë un dyja
bixhoz,"kumar cut koni, Q i)"
bixhozçi,kumarxhi ece si
bizele,shih blertë G)
bizë,Shih fëndyell: shih pjapsiti pakëgukes tuaj
me,bizë Lë ps Kgakaçukthi 5
bizgë,shih bark
biznesmen,shik sipërmairës:
birrem,shih bjerr
jepem,(pas): shih vdesishik Slijohem: i
bjerraditë,shih bjerraditës - E
bjerraditës,"bjërraditë, bjerrë, partabukas:"
"djerraditë,",jerradirës: bjeiraKohës: Shih
bjerrakohës,shih bjerraditës -
bjerramot,shih bjerraditës fi 48 ni va
bjeshkatar:,'shih' stanar:
bjeshkatar,Shih: Bbjeshkors:
bjeshkor:,"bj eshkatar, bj eshkey': ën"
bjeshkës,Gas:
blacë,shih shkorret: pj
blatim,"shih dhurim, shih dhuratës sshih fli,"
platoj,shih dhurëjs shih kush vi
shih,kushtohem
blatues,vjet shih dhurues
ble,shih vëllim (libri)
blec,krahin shih lakuriq
blecoj,krahin shih zhvesh
blegë,shih barëshë I
blegërij,vakërroj: fig shih vajtoj
blegërim,fig shih vajtim
blegërimë,vakërtimë: ' Te dë Pilati
blegtor,"dhenar, dhënrritës, kafshërritës"
"mbarështues,","stanar, vjet qumështor"
blej,"bëj pazaret, pres,, bis marr, psonis: shih J"
korruptoj:,blihem shih korruptohem: shih
blerë,"(i, e) shih korruptuar d"
blerës,"klient, bis myshteri"
blerim,"shih gjelbërisn, shih bimësi"
blerinë,"shih lëndinë,"
blerje,"psonisje (bis ) e, i L"
bleroj,shih lulëzoj: v ZIT gjelbëtoherti
"gjelbëron,","mugullon, shpërthen, preshton,"
"jeshilon,",jeshilohet: shih gëlon
blerosh,poet shih blertë (1)
blertë,"(i, e) gjelbër: (i), jeshil bizele:"
"bojëbizele,","bleruar (i), gjelbëruar (1), preshtë"
"Q,","bojëjëshik poet blërosh, 5 Bjelbërosh,"
gjelbërush,::
blertësi,shih gjelbërim: ' së s
bleruar,"(i, 6) mb shih blerë T Na"
bletar,bletërritës: et Ble e sine
bletë,"mjalcë, mjaltëz, punëtore: ig shih"
shkathët,"(1): shih shurnicë, mizëris xbis shih"
koshërë, -- te R ae di
bletërritës,shih plëkës : u B
bletëz,"shih bar blete, shih pjeë"
bli,llukë (krahin jës Pe
bligje,kruashkë të iuditi ea Kë AE Eje pë
blindazh,"shih bunker vs 5 Ki dt, Siti"
blinajë,"shih blinishtë, 55 4 de 9 hë"
blindë,shih koracë
blindoj,shih koracoj ' katit Sha
blinduar,"(i, ): shih Koracuar r stër içvsë"
blinishtë,blinajë 5  Të si di  Mis
blirim,"shih vërshim, vëni"
bliroj,shih vërshoj: fig: krahin shi hçmendëni
blirojë,"shih vërshimi pe E, kës"
blister,shih përzier GQ adet
mundojj:bis,shih llomotisj:
bloçkë,"shih koçari (misri, misërishtët shik"
boçë,(pishë) e
blof,shih mashtrim
blofoj,shih mashtroj
blogurë,krahin shih lëvozh për
blojë,"shih bluarje: shih tallash,"
blojtës,shili mullis
blokëra,shih lëmishte Në I
blozak,shih nxirë (i) I
blozë,"tymth, bis pështymë, zgjyrë, hyr"
krahin,thirr: fig shih zi (i)
blozëri,blozërina: shik mbeturina
blozërina,shih blozëri
blu,"bruztë (i), bis mavi, rimtë G:"
bluaj,"miellzoj, thërrmoj, grij, tok, plekurizosj"
"grimcoj,","brëj, shtyp: imtësoj, imtoj: shih"
"përtyp,",tres (ushqimin): fig: shih përvetësoj:
fig:,shoshis: fig: shik mëndoj: fig shih
"thërrmohet,","miellzohet, grihetj shtypet,"
"grimcohet,","pluhufizohet: 'ietësohet,"
bluar,"(i, e) miellzuar (1), grimcuar PN pluhu-"
rizuar,"(1), thërrmuar (ie): shih copëtuar (i)"
bluarjë,"blojë, miellzim, thërrmim, grimcim,"
"Pluhurizim,","i imtësim, imtim: ëshih h përtypje:"
Shih,tretje
bluashkë,shi ashkël gi pd ps ek
blues,vjet shihi-mullisi at Pat PS
bluzë,fanellë: vjet gjymlek Sri
bluzhdëra,krahin: Shih barishte
bllacaroj,shih zbus E
bllacë,shih moçal: shih lakror shih shkërët
PROTECTED0,"shih: furmuris, 'shifë 'Norotis: I"
bllaskë,shik 'dërtasëz A
blloçkëlopë,krahin shih hthithëlopës
bllok,"radhor,, , Tadhua,: SHE Sraps shi pë Et"
bllokadë,shik rrethim: sa S
bllokim,shih zënie: shih rrethim: shih vmgecje
fig,"shih ngrirje, paralizimi"
bllokoj,"Shik rrethoj: Shih: pezulloj: Shik: Zë,"
shihngëcy,"fig shih 1 mpij, paralizoj,:1 ngrij,"
bllokohen,"shih: Agëcj: paralizohem,"
mpihem:,v ZEshih zihet Pi të
TI,"bllokuar (i, e) mb shih tretur (5 shih"
-pëzulluar,6): shilizënë: 'Gshih nge nG)
Shih,"mpirë (1), paralizuar Qe vs"
(mis,rijë VS va E çë et E
bobël,shih kërinill
bobëz,krahin shih këpushë
